series_type,date,ron95,ron97,diesel,diesel_eastmsia
level,2024/5/23,2.05,3.47,2.15,2.15
level,2024/5/30,2.05,3.47,2.15,2.15
level,2024/6/6,2.05,3.47,2.15,2.15
level,2024/6/10,2.05,3.47,3.35,2.15
level,2024/6/13,2.05,3.47,3.35,2.15
level,2024/6/20,2.05,3.47,3.35,2.15
level,2024/6/27,2.05,3.47,3.35,2.15
level,2024/7/4,2.05,3.47,3.35,2.15
level,2024/7/11,2.05,3.47,3.35,2.15
level,2024/7/18,2.05,3.47,3.35,2.15
level,2024/7/25,2.05,3.47,3.35,2.15
level,2024/8/1,2.05,3.47,3.35,2.15
level,2024/8/8,2.05,3.47,3.3,2.15
level,2024/8/15,2.05,3.47,3.25,2.15
level,2024/8/22,2.05,3.47,3.23,2.15
level,2024/8/29,2.05,3.42,3.18,2.15
level,2024/9/5,2.05,3.4,3.16,2.15
level,2024/9/12,2.05,3.25,3.01,2.15
level,2024/9/19,2.05,3.19,2.95,2.15
level,2024/9/26,2.05,3.19,2.95,2.15
level,2024/10/3,2.05,3.19,2.95,2.15
level,2024/10/10,2.05,3.19,2.95,2.15
level,2024/10/17,2.05,3.19,2.95,2.15
level,2024/10/24,2.05,3.19,2.95,2.15
level,2024/10/31,2.05,3.19,2.95,2.15
level,2024/11/7,2.05,3.19,2.95,2.15
level,2024/11/14,2.05,3.19,2.95,2.15
level,2024/11/21,2.05,3.19,2.95,2.15
level,2024/11/28,2.05,3.19,2.95,2.15
level,2024/12/5,2.05,3.19,2.95,2.15
level,2024/12/12,2.05,3.19,2.95,2.15
level,2024/12/19,2.05,3.22,2.95,2.15
level,2024/12/26,2.05,3.25,2.95,2.15
level,2025/1/2,2.05,3.28,2.98,2.15
level,2025/1/9,2.05,3.33,3.03,2.15
level,2025/1/16,2.05,3.38,3.08,2.15
level,2025/1/23,2.05,3.43,3.13,2.15
level,2025/1/30,2.05,3.43,3.18,2.15
level,2025/2/6,2.05,3.43,3.18,2.15
level,2025/2/13,2.05,3.43,3.18,2.15
level,2025/2/20,2.05,3.43,3.18,2.15
